key,value
data:1000040092854923335,"{""st"":1,""cl"":null,""ls"":[""fr""],""fc"":[""982686588330995775"",""996160110873296956""]}"
data:1000330333499166750,"{""st"":1,""cl"":""en"",""ls"":[""ko""],""fc"":[]}"
data:1001435542141026304,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[""942129642976976937""]}"
data:1001439602625753129,"{""st"":1,""cl"":null,""ls"":[""uk""],""fc"":[""942129642976976937""]}"
data:1001443744698085386,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[]}"
data:1001445128415756298,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[]}"
data:1001445447069618206,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[]}"
data:1001446029067030579,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[]}"
data:1001446343648231466,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[]}"
data:1001533147290288239,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533281763856584,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533360516112384,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533386013282304,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533407001587722,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533429462077470,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533456666341516,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533484491358349,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533508285649000,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533530825834586,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001533553210826942,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:1001577521978019920,"{""st"":1,""cl"":null,""ls"":[""uk""],""fc"":[]}"
data:1001578768193830942,"{""st"":1,""cl"":null,""ls"":[""uk""],""fc"":[]}"
data:1001583794094084156,"{""st"":1,""cl"":null,""ls"":[""uk""],""fc"":[]}"
data:1001585473698930810,"{""st"":1,""cl"":null,""ls"":[""uk""],""fc"":[]}"
data:1001586469837746296,"{""st"":1,""cl"":null,""ls"":[""uk""],""fc"":[]}"
data:1002556534242410561,"{""st"":1,""cl"":null,""ls"":[""ru"",""en"",""de""],""fc"":[]}"
data:1002618302486548610,"{""st"":1,""cl"":null,""ls"":[""ru""],""fc"":[]}"
data:1002785413867520062,"{""st"":1,""cl"":null,""ls"":[""zh-CN""],""fc"":[]}"
data:1003015126691090589,"{""st"":1,""cl"":null,""ls"":[""fr""],""fc"":[""1003178065150611457""]}"
data:1003172887307501598,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""1003173574271569981""]}"
data:1003173574271569981,"{""st"":1,""cl"":null,""ls"":[""de"",""ru""],""fc"":[""1003172887307501598""]}"
data:1003178065150611457,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""1003015126691090589""]}"
